structure_id,filename,Al_fraction,Al_Al_pair_fraction,Al_Co_pair_fraction,Co_Co_pair_fraction,formation_energy_eV_per_atom
1,AlCo_01_Al0.125_seed1.cif,0.125,0.015625,0.21875,0.765625,0.6512521803379059
2,AlCo_02_Al0.125_seed2.cif,0.125,0.026041666666666668,0.19791666666666666,0.7760416666666666,0.65870800614357
3,AlCo_03_Al0.125_seed3.cif,0.125,0.015625,0.21875,0.765625,0.6512521803379059
4,AlCo_04_Al0.250_seed1.cif,0.25,0.052083333333333336,0.3958333333333333,0.5520833333333334,0.4556487202644348
5,AlCo_05_Al0.250_seed2.cif,0.25,0.07291666666666667,0.3541666666666667,0.5729166666666666,0.4565356373786926
6,AlCo_06_Al0.250_seed3.cif,0.25,0.0625,0.375,0.5625,0.4554532170295715
7,AlCo_07_Al0.375_seed1.cif,0.375,0.140625,0.46875,0.390625,0.2796971499919891
8,AlCo_08_Al0.375_seed2.cif,0.375,0.13020833333333334,0.4895833333333333,0.3802083333333333,0.2653104960918426
9,AlCo_09_Al0.375_seed3.cif,0.375,0.13541666666666666,0.4791666666666667,0.3854166666666667,0.2646276652812958
10,AlCo_10_Al0.500_seed1.cif,0.5,0.234375,0.53125,0.234375,0.0889149904251098
11,AlCo_11_Al0.500_seed2.cif,0.5,0.2604166666666667,0.4791666666666667,0.2604166666666667,0.0881983041763305
12,AlCo_12_Al0.500_seed3.cif,0.5,0.234375,0.53125,0.234375,0.0859338045120239
13,AlCo_13_Al0.625_seed1.cif,0.625,0.3802083333333333,0.4895833333333333,0.13020833333333334,-0.0633768737316131
14,AlCo_14_Al0.625_seed2.cif,0.625,0.3958333333333333,0.4583333333333333,0.14583333333333334,-0.0577225387096405
15,AlCo_15_Al0.625_seed3.cif,0.625,0.3802083333333333,0.4895833333333333,0.13020833333333334,-0.0672702491283416
16,AlCo_16_Al0.750_seed1.cif,0.75,0.5625,0.375,0.0625,-0.1445174813270568
17,AlCo_17_Al0.750_seed2.cif,0.75,0.5520833333333334,0.3958333333333333,0.052083333333333336,-0.1565003991127014
18,AlCo_18_Al0.750_seed3.cif,0.75,0.5572916666666666,0.3854166666666667,0.057291666666666664,-0.150515615940094
19,AlCo_19_Al0.875_seed1.cif,0.875,0.7552083333333334,0.23958333333333334,0.005208333333333333,-0.1415392458438882
20,AlCo_20_Al0.875_seed2.cif,0.875,0.765625,0.21875,0.015625,-0.1283346712589264
21,AlCo_21_Al0.875_seed3.cif,0.875,0.7604166666666666,0.22916666666666666,0.010416666666666666,-0.1340629160404205
